"pendente","sim",,130,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-bIuLX650Vvs/VcjGGCxtbLI/AAAAAAAANlY/F-KBDB5r1Ss/w945-h709-no/IMG_9456.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Águas do açude cobrem as ruínas, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005321","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,131,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-pqzs3N_2tD8/VcjE6Rh7PII/AAAAAAAANug/7UZo2Y2h5So/w945-h709-no/IMG_9389.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Senhor alimentando cabras, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005257","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,132,"Exposta",,,"Canudos ","https://lh6.googleusercontent.com/-WKZknUygXOQ/VcjGOg8CKiI/AAAAAAAANy8/Qip8lk_UBBg/w532-h709-no/IMG_9465.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Cruz, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","30 x 20 cm",1500,"MAR.2015.005330","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,133,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-edX2z2_Z7zA/VcjFvkNBR8I/AAAAAAAANio/Iu2OprrxVjY/w945-h709-no/IMG_9438.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Senhor sorrindo sobre beco e calçada de pedra, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005303","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,134,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-hA-J5DJ5AFo/VcjGVEYAo1I/AAAAAAAANqo/g5UEU2iDVU0/w945-h709-no/IMG_9474.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Bar Conselheiro, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm ",1500,"MAR.2015.005339","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,135,"Exposta",,,"Canudos ","https://lh6.googleusercontent.com/-sCx8SlIGKJw/VcjFZ3OP_BI/AAAAAAAANgo/u_snqRXTGJc/w532-h709-no/IMG_9422.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Senhora de lenço na cabeça, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","30 x 20 cm",1500,"MAR.2015.005287","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,136,"Exposta",,,"Canudos ","https://lh6.googleusercontent.com/-X04QdcWArT8/VcjGNvI9K9I/AAAAAAAANys/f_eHNfLIft4/w532-h709-no/IMG_9463.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Vaqueiro e sua armadura de couro, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","30 x 20 cm",1500,"MAR.2015.005328","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,137,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-77XiF66U6Gc/VcjFuFg8KNI/AAAAAAAANig/o6x4kwklfRQ/w945-h709-no/IMG_9436.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Criança pendurada no caminhão, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005301","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,138,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-xSRIatqq2Ro/VcjFTLZIz_I/AAAAAAAANfo/3T-_CQd7idU/w945-h709-no/IMG_9410.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Menino olhando a romaria, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005278","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente",,,139,"saiu da exposição",,,"Canudos ","https://lh3.googleusercontent.com/7tDjCAalsxERc7UBXokV0TRM_KV7VBwQjiI8a6ibVY0=w1047-h785-no","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Paisagem com cactus e cavalos, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm ",1500,"MAR.2015.005316","Col. MAR - Fundo Evandro Teixeira",,"s/laudo - saiu da exposição","SAIU DA EXPOSIÇÃO",,,,,,,,,,,,,,
"ok",,,164,"Exposta",4010020,,"Carnaval","https://lh3.googleusercontent.com/-i5cDWjZALds/VfcurTm0h_I/AAAAAAAACHw/BwHXmApJ0lA/w506-h783/baianas.jpg","Evandro Teixeira","Coleção do artista","Baianas do carnaval","Cinelândia, Rio de Janeiro, déc. 1970",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,51,"Exposta","DSCN2119",,"Carnaval  ","https://lh3.googleusercontent.com/ZsaMsda5esfLSClgQ9guekWG230F5MoBkoAXGr_X9pI=w216-h309-no","Evandro Teixeira","Coleção do artista","Carnaval de Basel","Basel, Suíça, 2014",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,52,"Exposta",73630022,,"Carnaval  ","https://lh3.googleusercontent.com/yzYZ8dV6MdyV-J52VNx1_6ba_eOF0PqDDc37ZyN37h4=w841-h785-no","Evandro Teixeira","Coleção do artista","Os Clóvis na Cinelândia","Cinelândia, Rio de Janeiro, 2010",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,53,"Exposta","CLOVIS4",,"Carnaval  ","https://lh3.googleusercontent.com/cGP7pWhI28VqzU75HumQHwIvGn5ieGec5KC1i4q8OAk=w516-h339-no","Evandro Teixeira","Coleção do artista","Clóvis na Pedra de Guaratiba","Pedra de Guaratiba, Rio de Janeiro, 1995",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,54,"Exposta",,,"Carnaval  ","https://lh3.googleusercontent.com/eFyYAcPPd3dN3yz0ZPMCtdkmKs542Hgo9gNB6197iR8=w518-h755-no","Evandro Teixeira","Coleção do artista","Carnaval","Rio de Janeiro, 1976",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,55,"Exposta",,,"Carnaval  ","https://lh3.googleusercontent.com/YRVfURxpd0RgxPOsTANEalBnhqkgHRKvaqDBRxWMUrM=w1185-h785-no","Evandro Teixeira","Coleção do artista","Os Clóvis: carnaval","Rio de Janeiro, 1980",,"Inkjet print. Pigmento mineral sobre papel","40 x 60 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
