"ok",,,13,"Exposta","0106Monroe11 (2)",,"Poder","https://lh3.googleusercontent.com/QjkZAZWgzlJhyYh1vWa33A-RQkjSSQ40_kNetEJkUw8=w1282-h785-no","Evandro Teixeira","Coleção do artista","Demolição do Palácio Monroe","Rio de Janeiro, 1976",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok impresso","Em exposição",,,,,,,,,,,,,,
"ok","sim",,16,"Exposta",,,"Poder","https://lh3.googleusercontent.com/WGcJUsYVgZCGVgP8u1tvzZmBcRKNXhgzNAJc9vI3jZw=w520-h785-no","Evandro Teixeira","Coleção do artista","Lula em campanha eleitoral, caravana da cidadania ","Guacuí, Pirapora, Minas Gerais, 1994",,"Fotografia / processo gelatina ","40 x 30 cm (impressa)",1000,,,,"ok finalizado",,,,,,,,,,,,,,,
"ok",,,18,"Exposta","P1050027",,"Poder","https://lh3.googleusercontent.com/pNN1ELUsMYhTzur_xCnCMKyTKnfCCStUZXJ3kt57rXY=w1047-h785-no","Evandro Teixeira","Coleção do artista","Artesão Françui dos aviões","Potengui, Ceará, 2011",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,167,"Exposta",49520023,,"Poder","https://lh3.googleusercontent.com/-iIH029XXTgU/VfctnsMwrKI/AAAAAAAACGc/yB04gunYwVA/w506-h379/casa%2Brosada.jpg","Evandro Teixeira","Coleção do artista","Águia da Casa Rosada","Buenos Aires, Argentina, 2008",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim",,6,"Exposta",,,"Ponto de vista","https://lh3.googleusercontent.com/YfyL07jFtrtSFO9-Qx9Jsm7uhUtbPas8F0OrupMTz4s=w365-h281-no","Evandro Teixeira","Coleção do artista","Rainha Elizabeth II","São Paulo, 1968",,"Fotografia / processo gelatina ","30 x 40 cm (tamanho que PH solicitou é o que temos)",1000,,,,"Ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,7,"Exposta","Enchente no Jardim Botânico",,"Ponto de vista","https://lh3.googleusercontent.com/4Z_O30IWpYf7DMQaJsRhWQz0g1LnmDYxZbTJ5H5Fb74=w483-h322-no","Evandro Teixeira","Coleção do artista","Ônibus em inundação no Jardim Botânico","Rio de Janeiro, 1988",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,8,"Exposta","L1230522",,"Ponto de vista","https://lh3.googleusercontent.com/8ybOpd0pj5ZZyU9ZpWbAMO8yis_ArPdqZm0KNjylrgM=w516-h331-no","Evandro Teixeira","Coleção do artista","Passeata antigoverno na Praia de Copacabana ","Rio de Janeiro, 2015",,"Inkjet print. Pigmento mineral sobre papel","40 x 60 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,9,"Exposta","L1230511",,"Ponto de vista","https://lh3.googleusercontent.com/DW-pOdk_q6hvvTDVoCprZuhexnyjL360aw2CftL96Bk=w1600-h777-no","Evandro Teixeira","Coleção do artista","Passeata antigoverno na Praia de Copacabana ","Rio de Janeiro, 2015",,"Inkjet print. Pigmento mineral sobre papel","40 x 60 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,10,"Exposta",,,"Ponto de vista","https://lh3.googleusercontent.com/p0D8_iCZNXorWFE-SV3X0rsdRO3f8KZCP8SozUC6SRQ=w397-h339-no"")","Luiz Pinto","Coleção Evandro Teixeira","Evandro e sua escadinha","Praça XV, Rio de Janeiro, 1991",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente",,,11,"Exposta","criançafalecidanabicicletaA",,"Ponto de vista","https://lh3.googleusercontent.com/XlX2tMSxIpF1exrFm9iGTMMTITiTipR4DeDdY6QvIoI=w554-h330-no","Evandro Teixeira","Coleção do artista","O enterro do anjinho","Aprazível, Ceará, 1992",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente",,,12,"Exposta","CHUVA_02",,"Ponto de vista","https://lh3.googleusercontent.com/NtrQh5oXSza_KaQ3_TxH25glp3nJvT29mhl7sEUlGlQ=w381-h785-no","Evandro Teixeira","Coleção do artista","Chuva no centro do Rio ","Largo da Carioca, Rio de Janeiro, 2005",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim",,1,"Exposta",,,"Povão","https://lh3.googleusercontent.com/SF3HYamI_LmzbCWhQriWm_4BUXiHjEyYyZkOJwew5Cs=w414-h315-no","Evandro Teixeira","Coleção do artista","Guerra do Tráfico na Vila do João","Rio de Janeiro, 1988",,"Fotografia / processo gelatina ","30,5 x 39,9 cm (existente)",1000,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,3,"Exposta","38x29 algodao evandro img498",,"Povão","https://lh3.googleusercontent.com/8_1hYZjLNT59GFWiIWpHY8FI0vWiKFMCFs7sx0q2fpk=w466-h311-no","Evandro Teixeira","Coleção do artista","Meninos em carrinho de madeira no Morro da Mangueira","Rio de Janeiro, 1975",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,5,"Exposta","Evandro65",,"Povão","https://lh3.googleusercontent.com/-AY50JY6np_lltPG88mdCLnoaCvlMNaUJjdDCeSUe4o=w569-h785-no","Evandro Teixeira","Coleção do artista","Surfistas de trem ","Rio de Janeiro, dec.1960",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,157,"Exposta","Cópia de FAVELAANTIGA03",,"Povão","https://lh3.googleusercontent.com/-ZR_0h_WBwKk/Vfcvcr5LaLI/AAAAAAAACI8/fXawD8wcjS0/w506-h803/favela.jpg","Evandro Teixeira","Coleção do artista","Favela da Catacumba","Rio de Janeiro, 1972",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,165,"Exposta",3990004,,"Povão","https://lh3.googleusercontent.com/-3VkbNjZlSdg/VfctQuq3AFI/AAAAAAAACF0/e1NJMrNyXZE/w506-h754/cheirozinha.jpg","Evandro Teixeira","Coleção do artista","Dona Cheirosinha no Mercado Ver-o-Peso","Belém do Pará, 2000",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,28,"Exposta","TOM JOBIM02",,"Rio cool / Música","https://lh3.googleusercontent.com/V6C7EQdIYlgjg0amllCqwadPjhXQaRKdBim2qMavngM=w217-h331-no","Evandro Teixeira","Coleção do artista","Tom Jobim no telhado de sua casa","Rio de Janeiro, 1974",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim, ele quer a 30x50",,29,"Exposta",,,"Rio cool / Música","https://lh3.googleusercontent.com/NDFtWVv2RCV5HlOCojpbMNlB1DEF_j5JI3oENMd3NYs=w442-h296-no","Evandro Teixeira","Coleção do artista","Chico, Tom e Vinícius na Churrascaria Carreta","Rio de Janeiro, 1979",,"Fotografia / processo gelatina ","30 x 50 cm (evandro)",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,30,"Exposta",66950007,,"Rio cool / Música","https://lh3.googleusercontent.com/nzHyiKybiAVYvMZziPUizygSITWh7umzMd0P7eOxUbU=w187-h281-no","Evandro Teixeira","Coleção do artista","Grande Otelo em filmagem na Avenida Chile ","Rio de Janeiro, 1971",,"Inkjet print. Pigmento mineral sobre papel","60 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,31,"Exposta","Leila Diniz 02a",,"Rio cool / Música","https://lh3.googleusercontent.com/AAVaqSiMSWR2zqMUruHD79jEgctRNzgwujHa7sXzhQI=w1126-h785-no","Evandro Teixeira","Coleção do artista","Leila Diniz em filmagem na Praia de São Conrado","Rio de Janeiro, 1968",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,"sim","ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,32,"Exposta","2602Danusa03 (2) 27x20",,"Rio cool / Música","https://lh3.googleusercontent.com/lfGouWavqhKChopfSJhYHDtn8j7vmXLDLUuDAFORwvA=w573-h785-no","Evandro Teixeira","Coleção do artista","Danuza Leão em desfile","Rio de Janeiro, 1968",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim",,34,"Exposta",,,"Rio cool / Música","https://lh3.googleusercontent.com/3XD7qihIBIPSAaG-S5Q5B4qfpRqGJkvMnsRKbyfEbTE=w1016-h684-no","Evandro Teixeira","Coleção do artista","Chico Buarque desfila no carnaval da Mangueira","Rio de Janeiro, 1989",,"Fotografia / processo gelatina ","34 x 49 cm ",1000,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok","sim",,35,"Exposta",,,"Rio cool / Música","https://lh3.googleusercontent.com/8D6hx9OyCdEigys8nvdkYRjwM_IoWwPCNKfagssxcOk=w497-h312-no","Evandro Teixeira","Coleção do artista","Rua Noel Rosa","1978, Rio de Janeiro",,"Fotografia / processo gelatina ","40 x 64 cm ",1000,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,163,"Exposta","clementina",,"Rio cool / Música","https://lh3.googleusercontent.com/-Z7SUpYUDN2c/VfcsPztBlLI/AAAAAAAACEs/5D8DqYtRhMo/w506-h763/clementina.jpg","Evandro Teixeira","Coleção do artista","Clementina de Jesus na Banda de Ipanema","Rio de Janeiro, 1968",,"Inkjet print. Pigmento mineral sobre papel","40 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,140,"Exposta",72350005,,"Vidas Secas ","https://lh3.googleusercontent.com/b87spBbRCAIhycilPAziTrhD1NReHmbvQS_kO3lnvEE=w408-h280-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Inkjet print. Pigmento mineral sobre papel","20 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,141,"Exposta",72350010,,"Vidas Secas ","https://lh3.googleusercontent.com/R2xFWmyshK6DZJuB0uxXj7OJLLEb3T20aAXEM2MfbLY=w238-h162-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Inkjet print. Pigmento mineral sobre papel","60 x 90 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,143,"Exposta",72350022,,"Vidas Secas ","https://lh3.googleusercontent.com/wZaczrBvdMs_MK0ZrZxat5w7V7D1BS9YHaZFb3mXL8U=w332-h236-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Inkjet print. Pigmento mineral sobre papel","20 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,144,"Exposta","72340004a",,"Vidas Secas ","https://lh3.googleusercontent.com/ecxFvtkz3BOq74l3Sr54kAQCd0Q3DwT5ioXNP0tcRIM=w352-h254-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Caicó, Rio Grande do Norte, 2010",,"Inkjet print. Pigmento mineral sobre papel","20 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,145,"Exposta","16NEGATIVO17",,"Vidas Secas ","https://lh3.googleusercontent.com/64uUrXuIKqXlk0y5iomOV2vNFiBaf_cqSUJbH2kz_vg=w328-h244-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Forquilha, Ceará, 1992",,"Inkjet print. Pigmento mineral sobre papel","20 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,146,"Exposta","Canudos 125",,"Vidas Secas ","https://lh3.googleusercontent.com/E1h1Fhl4szdVdrH0JkDaOUIHk76ktMtQvLbdbCOWR_0=w274-h312-no","Evandro Teixeira","Coleção do artista","Senhora rezando, Dona Edwirgen ","Monte Santo, Bahia, 1995",,"Inkjet print. Pigmento mineral sobre papel","90 x 60 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"30 x 20 cm",,,147,"Exposta",,,"Vidas Secas ","https://lh3.googleusercontent.com/tfUZHy98vfOyezOQgGm0SlTEt1Jg_C205LNKPswThZA=w280-h234-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Fotografia / processo gelatina ","20 x 30 cm",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,148,"Exposta",72340018,,"Vidas Secas ","https://lh3.googleusercontent.com/YtGagVEK0CbjuG1YUd7G-1yl_RG-qoxszvFyuU9iyhc=w1165-h785-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Inkjet print. Pigmento mineral sobre papel","20 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,"sim",149,"Exposta","canudos alta",,"Vidas Secas ","https://lh3.googleusercontent.com/fKV1YPpZDEosZ8EjoK6qz4adEvSzRLjHWikBqem0HmQ=w1127-h785-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Inkjet print. Pigmento mineral sobre papel","20 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,150,"Exposta",72340014,,"Vidas Secas ","https://lh3.googleusercontent.com/0dhhwGdemhk482bezrASxZnrQde3PNShFXm0xnQEpYo=w1126-h785-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Inkjet print. Pigmento mineral sobre papel","20 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,151,"Exposta","72350015_Vidas Secas",,"Vidas Secas ","https://lh3.googleusercontent.com/GPfm1oFMkh3VnN87LXSnIiVU4K1Vk508dK75gSX4Tu0=w1141-h786-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Inkjet print. Pigmento mineral sobre papel","20 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,152,"Exposta",".04",,"Vidas Secas ","https://lh3.googleusercontent.com/jhXVKDlKbVOyDiNf0ylWM1-53ZVyiONTsFimlVHkPO8=w1185-h785-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Inkjet print. Pigmento mineral sobre papel","60 x 90 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,153,"Exposta","img056",,"Vidas Secas ","https://lh3.googleusercontent.com/G9ITuu7smbmb7Tgd2UpQRttaetpmSGUAiOI85Dlt-wM=w1184-h785-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Inkjet print. Pigmento mineral sobre papel","20 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,154,"Exposta",72350009,,"Vidas Secas ","https://lh3.googleusercontent.com/o7Y4XRlzjZ8knZwbRU7F4dnnP_u9QUqFCRGTSLqtg8s=w1178-h786-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Inkjet print. Pigmento mineral sobre papel","20 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
,,,155,"Exposta",72350011,,"Vidas Secas ","https://lh3.googleusercontent.com/02EaXtfY3vlLFY4XVszFPb-olohWkyfWpQG1ZPH7Q04=w1178-h786-no","Evandro Teixeira","Coleção do artista","Série ""Vidas Secas""","Alagoas, 2008",,"Inkjet print. Pigmento mineral sobre papel","20 x 30 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente",,,166,"Exposta","Scan-110530-0018a",,"Vidas Secas ","https://lh3.googleusercontent.com/-SUkcj4hEC5o/VfcuVEqaKMI/AAAAAAAACHI/V4YRivoOvsw/w506-h330/vidas%2Bsecas.jpg","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Caminhada a procura de água, mulher e crianças,  da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm ",400,"MAR.2015.005260","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
,,,169,,,,,"https://lh3.googleusercontent.com/ZoFynV-NTERYgT1xE-B-uUfRNbATqsEizU39a8Xlal7CDT5skw1eikJEpgmniKRXPgqh9DHLlSHVg3QMbYiP_tzFb1FrDOT5PNSLbrQs0HWLOm4uFwGt09k7I5Uc83wwLi7R2RxJArVRqP6SCchr92eyQnz-QmExOYcx80Kzd0nUTZ81XP3sw9n-_iTCduihSyDhqVUD31AMoOBk8dYBgyjw9V_sd7iUgvGoU0RgzfLFl-8is7ydsqbP4XnEq4dnFa3UQGsoT25oS2tBdBhoDJI4zgcbPT9LiIcQFJ8RZCgrqUSkYF0wFZYgjPdilp9VLykG7gWa4yZACv89GbaUOXQVHsqU7EZ6KXZ3Rz9tLiKyhyYcHlD3UdgJI1GTGl77cE5tMgu25ehbWWlv6-8A0jEnvuIbTHqTx7tGcqea_EjdPMZrfJy982Zb9LODrgqOIPjAeboGnKeMRv23WhtQKJat0NhBxg0whZGYokrV3ZnOL3q2QObMSfR4JMddyfwA1D22q9WnZ1CbsUvFb6lsCCclVx8aWtK_eVmHxXYIssqK=w177-h257-no"")","Carlos Drummond de Andrade","Coleção Ruy Souza Silva","Claro Enigma, primeira edição",1951,,"Livro","22 x 15 cm ",1000,,,,,"Em exposição",,,,,,,,,,,,,,
,,,170,,,,,"https://lh3.googleusercontent.com/kFl6SqA_jH1_xS9ayP3lEEtkHbwHnaDhy39NX9-dFEbhd6YfZuI-0EFWkAlQ7L2G2HEMj99pl2qhZ2VOT69q5M0AmYwRTz5v-d5vQoJvEBzr4sdbYKfMxm-VlfKHhDxvCPeTClYSKE2Bl7lFKdkEV0KCEzwWtKhL4mSK0nj0L0Hapjytdmi52SuySjajmo3n3Dc-g542-7pI8Zptzcl7_E-UElHC6pLLNNf33-PH6ijYEn3Kbe6rZUE5PJfIHZRyZIx7tYUH4qNKtL6SjQ3ruiad1fE3E4tdMaBB-WXWFCXfjT6VNdcEu_g3QDGRYiYj4nqmdrMGk07VJ7GCIkadsIHJoJPo9oB-5MbqVfi40w72h303OtafMsivE55WnnAkhfHLjDqm0vGnSagh63HI7iPh8DKxZGVAEKp8qkB0TlpibGNMS45rcQPOyD2sKG-PyyCJ-VZyj49b8-DtVdeRSq9mQ9v_G5ATM-LJx_U32zcZYLlEcWVA6bi9_WqGW44lS0_tKhW9OEhL9KLKq7JxUyRhopIjainZbyT6itRZLxBV=w283-h450-no"")","Carlos Drummond de Andrade","Coleção Ruy Souza Silva","O sentimento do mundo, primeira edição",1940,,"Livro","19 x 16 cm",2000,,,,,"Em exposição",,,,,,,,,,,,,,
,,,171,,,,,"https://lh3.googleusercontent.com/uHlvP9ZjO9lY1rUHte-wJsvgRt9twmwvQwlm0nDQSRyYtRGQbOQHD6o7hxaF-vLVC4eN53vLlgd4gZjRlkE5HZKnC8HQNEIp64v3hlmFdstaWqJtwpDAukMk84_bzFtu_fpZV0J-G-sumTyZpmwfGsE71yNNYWW-u055ttVXJ_pVUW22Hk07HJ1LXZuqRhrYRYSxcHnlWy074-Ko3-LehNDWDaanWkFetzNWluOfsGFTGJaHfzBLzwnBzqUUE78ld4YuJE_SHbBQ25qqjK2-CuDhSAJCz_nTVJiXYb--ZVKR9WolLbnRU_Q5x1McLRHZm3LEye8G6PhxkGlKaB2ZL2srFF1HkOyfMUWM9AqwgkJo-1Jdb1Ot52I_sR6RPXrarV2MlcNx4guMWuIC2tLjAkb6VyNafuM1EylQNyhCC_1GW7zUj9WPH4IzBNxnxoFKqCPqnj_U8nNSB_FQoVk0E9cUG2ofvlAEao3-9DXFoPaBUgtJQgvv4Q93nh7GMcH-vmDeAutij5hiqyoT3kTelUyUI5cd7rvuRDWque6JD9iw=w178-h284-no"")","Carlos Drummond de Andrade","Coleção Ruy Souza Silva","A rosa do povo, primeira edição",1945,,"Livro","19 x 13 cm ",1000,,,,,"Em exposição",,,,,,,,,,,,,,
,,,172,,,,,"https://lh3.googleusercontent.com/FLTvW24Hf0vY2JFa6gN6Lisume16O06fkHSW9nG71-z8N5bEMuV-gszbNlLuKwu0Rdx4vKIrKAu1IHeM_ezngDy4YcR7m0B6jgk5ynRnq6aYgQqNljpQ_v95qnIlmygnidHh1Tj5JM-QriaQmv7LUGg1P4N7Cztme9YMd4mhMvqKbmO8tsV_gQaNTDrr6HXGWOhRwrDl69lGCHOOkosGXg53bYfkvwtwYVQISGPCvqvBhtRKQ9vcIAdX01fciP1fTribE61bKOCjiUMsNQnHHQwTOFyQZUAXEmK_dO71pAt8D8jHvrpWA1YCchQ3UZ7m0r4IL0P6vw5F5l6Ky9i36sW2maK844BcfGExYbKk5pSnpCG-6uqTMTox1Gze6LXF9l63lv7zDkb_P9yUpFySx80obpkGCbFoHGNFrA4OlBRrPuuuH2CWcsB6hroTX1AQvaqLd5kekZgMUc0zhqKplMWoazR5PiowyhLXMsJDfzNthloacTGdVPd2GkM7JmSZPoRwPOYGx9-oT78PUDqcpLzxttFy7cP3L79QuqD1yl7H=s758-no"")"," Graciliano Ramos","Coleção Ruy Souza Silva","Vidas Secas, primeira edição",1938,,"Livro","18,5 x 12,5 cm",2000,,,,,"Em exposição",,,,,,,,,,,,,,
,,,173,,,,,"https://lh3.googleusercontent.com/8hTvwar21KbwMyH8FtdFqbxZLFABQ6N1W1Wj2LPh4JWe3D-RkF8rB86aGNjvKju2i2IWf8FPrW1ifunAr5qu4cRzTOCeZg-m0GPYQ7xmBXrpxMOmHDRsANofuBsW0_jkwj7O_R4OeY7eGN4HVYsIemEM6a2XhuKPBV0Ld-b2Hja1UVxH7T3Q5I3hwhHh5yxZmEI5P593ac1qiUhkKWuUs0f2AE-Ko6pi_T8SeYE-zxbQNoYgaomEVl8E-TfyBSWl9ZaGswA1q0KvYiummc-O_-9j1fjvMA8KjlEOu9yf5iTPd82SasfQ1PJgDFq8WfEjVhqEdSriiDxWJxGSfu1sZwsWQAnlSjqElDZGeoQ070a-kPpuXA-7wnPdR-eaXQYfisGnu1P_AVW1SkhBlvJFluI83-dmBeSPzwXaxWvJRnmx_sBXe3kUwTDLsrJ4E4Tmk0xFH9CDWBps6k4yodI2VXsW-6O-Ljf2Kf-sQb8l36p7vx3yPyRdqxWQH61L3b7SDFROiUgX4wXxra-kTzvS9X3ninmjnf52W-fUq5LVGCR1=w204-h345-no"")"," Graciliano Ramos","Coleção Ruy Souza Silva","Memorias do cárcere, primeira edição",1953,,"Livro","4 volumes, 22,5 x 14,5 cm",1000,,,,,"Em exposição",,,,,,,,,,,,,,
,,,174,,,,,"https://lh3.googleusercontent.com/aYpEAlA5hqC8sOOY_sW4XD0cqOOAIQm8EIrGsTashqft7juTFJw3AYRRLBH9_LyUdfaRT4v1ecaTFESMZtmPn8WQOnvUENH7fo6Kq5dUkaKRpFppwoRHDoaaaL_08QsfoQm8tLJOWkkgmXBliA07DfH2KJaaZkWk_0OtIHvvWRjzSLn5djdMJYzqNEZeFnZyhuxq1yqoUefzsKcce6RDP4r9G2aZgHXH-HsRK-FXPKFGl7uhTHIcwcd_CMvyFSMF0tbmuCOWyMTljdB7KLLjZpYpDAPfowmdIq8-4aXFsrS7V9N2rkzidfvigwTfT1W8ex2wTzOc95_GjZijHF0lZJApMHANJ5JHd9iuEhV63iKBek64cuHn76koR-8ud0mmNLBfNpvGf1SyxPCTrh8m8k2d1ivyaw0WZ-VZSolB3cg0fHGVBiyV2vlpN80ZWJNM3RTOAD8xlgiw0Dbjs29s7bbseTCkQ2ltYYUsxk3BF4zj1ftbgmoY-Zve3Stk_9wq4AmmeROKPIWEF6X4szSfdZSwZZ2BLLSq1C8mwfh4jI_H=w190-h265-no"")","Antonio Callado","Coleção Ruy Souza Silva","Quarup, primeira edição",1967,,"Livro","22 x 15 cm",500,,,,,"Em exposição",,,,,,,,,,,,,,
,,,175,,,,,"https://lh3.googleusercontent.com/MVteCkMfcfkzr475cnqMErsk81moALFxqmRgBGdg2SIdSvIlx0Kaln6_08vbSlqeq2KLYGgywydlN6Ty9t-z2srAqRMWI5008ezdDdeB0ngQu00jG4x5s8G0M38iyoNP23mlZKrqLx59XOVuEFbR6U6BTU-ePEyZLLh7CH2-SFFPo7dw8byIvXP4NMgkPfqEw0ohdKVxV81bFR0eVKy1FTCQ25JgVi911gPK9IEB13lbiPG2NDEZeCtzXUNPg8vPRcqtasaJz2qGwoHBxqWc7aE7k3w4XxY9UJ3MMN4AZSZjVM-jsTP5dJhCPVufRDUqKAbP0Nqf2JALe7zdk7hvs2zKnVnJrwN7lDrh5Lg_et4ESGW03nl2RO-AoJMpN7legpk0VmbieQb26FyaVs3M6ALtTcnDa7rVOCdwHy86UiNkZFIg8yqdBlGgqTRUlR9-oIWwimR9qf3J5Qw2hXyS4yvol22lskowFnU5VDEM4PHx7_rYe3qXXNP6ILPij-3L5u0BV7J_X5MRWAbFOuXWKzW9JVXRLrgGs_9W1XfQKfis=w724-h659-no"")","Antonio Callado","Coleção Ruy Souza Silva","Assunção de Salviano, primeira edição",1954,,"Livro","22,5 x 14,5 cm",200,,,,,"Em exposição",,,,,,,,,,,,,,
,,,176,,,,,,"Euclides da Cunha","Coleção Ruy Souza Silva","Os Sertões, segunda edição",1903,,"Livro","24,5 x 18 cm",1000,,,,,,,,,,,,,,,,,,,
,,,177,,,,,"https://lh3.googleusercontent.com/yA7GJXcG_2wdLGIsbSUh6oN3pfXJ2fvd2z2896Hw-QKaGsOI9KHCLuFTsgCZtZITv2Mijp2Nkx3t-3n7SIsGHFP3u-dVLXjilomaXZkv_K0HbobaQgHidLIGecGI5avW8Jjd4HgGP2IwGqmxfxi7wXlHWk6YA8TEoGTTsLNnHZL0POhWi30UscfLO9RMmAGwDxeuSr_FBrLeIMtG5-CvTHw-sQEqDoxogWKPZO68KhpZ8roHGTH__ElA6Xy5rcaWEcPFcK5Bl0euVUuQhXKjGKZJMQuR8QMpvRSIZ8pWqkJEyn4xeJ9G9ANQcgX9pyUUIWWCVnq08Mivn2qUMyw9iA_BhvGV7j-YtyUpbw7s22eb3h2a1eIOcp-fXdB-hkdLpXlFk02s7asWw6GXswsZJx__iC_uCqBBYXN5TuOq6yccbPY1xbUWBWHLUWPRBBNmIj-i5nmfOLyYE4-N2lUv008kqbkq2uMbTtRwusUstHEEZ-ll6sTfiQvzB88neGidSK6DJaxIkYbW7oTkObJkqJVYz5TOW3dyTHMk_TceLjm_=w478-h785-no"")","Euclides da Cunha","Coleção Ruy Souza Silva","Los Sertones",1942,,"Livro","20 x 15 cm",300,,,,,"Em exposição",,,,,,,,,,,,,,
